total,hp,attack,defense,sp_atk,sp_def,speed,name,classe
318,45,49,49,65,65,45,Bulbasaur,cluster2
405,60,62,63,80,80,60,Ivysaur,cluster0
525,80,82,83,100,100,80,Venusaur,cluster3
309,39,52,43,60,50,65,Charmander,cluster2
405,58,64,58,80,65,80,Charmeleon,cluster0
534,78,84,78,109,85,100,Charizard,cluster3
314,44,48,65,50,64,43,Squirtle,cluster2
405,59,63,80,65,80,58,Wartortle,cluster0
530,79,83,100,85,105,78,Blastoise,cluster3
195,45,30,35,20,20,45,Caterpie,cluster2
205,50,20,55,25,25,30,Metapod,cluster2
395,60,45,50,90,80,70,Butterfree,cluster0
195,40,35,30,20,20,50,Weedle,cluster2
205,45,25,50,25,25,35,Kakuna,cluster2
395,65,90,40,45,80,75,Beedrill,cluster0
251,40,45,40,35,35,56,Pidgey,cluster2
349,63,60,55,50,50,71,Pidgeotto,cluster2
479,83,80,75,70,70,101,Pidgeot,cluster0
253,30,56,35,25,35,72,Rattata,cluster2
413,55,81,60,50,70,97,Raticate,cluster0
262,40,60,30,31,31,70,Spearow,cluster2
442,65,90,65,61,61,100,Fearow,cluster0
288,35,60,44,40,54,55,Ekans,cluster2
448,60,95,69,65,79,80,Arbok,cluster0
320,35,55,40,50,50,90,Pikachu,cluster2
485,60,90,55,90,80,110,Raichu,ruido
300,50,75,85,20,30,40,Sandshrew,cluster2
450,75,100,110,45,55,65,Sandslash,cluster1
275,55,47,52,40,40,41,Nidoran♀,cluster2
365,70,62,67,55,55,56,Nidorina,cluster2
505,90,92,87,75,85,76,Nidoqueen,cluster1
273,46,57,40,40,40,50,Nidoran♂,cluster2
365,61,72,57,55,55,65,Nidorino,cluster2
505,81,102,77,85,75,85,Nidoking,cluster1
323,70,45,48,60,65,35,Clefairy,cluster2
483,95,70,73,95,90,60,Clefable,cluster0
299,38,41,40,50,65,65,Vulpix,cluster2
505,73,76,75,81,100,100,Ninetales,cluster0
270,115,45,20,45,25,20,Jigglypuff,cluster2
435,140,70,45,85,50,45,Wigglytuff,cluster0
245,40,45,35,30,40,55,Zubat,cluster2
455,75,80,70,65,75,90,Golbat,cluster0
320,45,50,55,75,65,30,Oddish,cluster2
395,60,65,70,85,75,40,Gloom,cluster0
490,75,80,85,110,90,50,Vileplume,ruido
285,35,70,55,45,55,25,Paras,cluster2
405,60,95,80,60,80,30,Parasect,cluster0
305,60,55,50,40,55,45,Venonat,cluster2
450,70,65,60,90,75,90,Venomoth,cluster0
265,10,55,25,35,45,95,Diglett,cluster2
425,35,100,50,50,70,120,Dugtrio,cluster0
290,40,45,35,40,40,90,Meowth,cluster2
440,65,70,60,65,65,115,Persian,cluster0
320,50,52,48,65,50,55,Psyduck,cluster2
500,80,82,78,95,80,85,Golduck,ruido
305,40,80,35,35,45,70,Mankey,cluster2
455,65,105,60,60,70,95,Primeape,ruido
350,55,70,45,70,50,60,Growlithe,cluster2
555,90,110,80,100,80,95,Arcanine,cluster3
300,40,50,40,40,40,90,Poliwag,cluster2
385,65,65,65,50,50,90,Poliwhirl,cluster0
510,90,95,95,70,90,70,Poliwrath,cluster1
310,25,20,15,105,55,90,Abra,cluster2
400,40,35,30,120,70,105,Kadabra,cluster0
500,55,50,45,135,95,120,Alakazam,cluster3
305,70,80,50,35,35,35,Machop,cluster2
405,80,100,70,50,60,45,Machoke,ruido
505,90,130,80,65,85,55,Machamp,cluster1
300,50,75,35,70,30,40,Bellsprout,cluster2
390,65,90,50,85,45,55,Weepinbell,cluster0
490,80,105,65,100,70,70,Victreebel,cluster3
335,40,40,35,50,100,70,Tentacool,cluster2
515,80,70,65,80,120,100,Tentacruel,ruido
300,40,80,100,30,30,20,Geodude,cluster2
390,55,95,115,45,45,35,Graveler,cluster1
495,80,120,130,55,65,45,Golem,cluster1
410,50,85,55,65,65,90,Ponyta,cluster0
500,65,100,70,80,80,105,Rapidash,ruido
315,90,65,65,40,40,15,Slowpoke,cluster2
490,95,75,110,100,80,30,Slowbro,cluster0
325,25,35,70,95,55,45,Magnemite,cluster2
465,50,60,95,120,70,70,Magneton,ruido
377,52,90,55,58,62,60,Farfetch'd,cluster0
310,35,85,45,35,35,75,Doduo,cluster2
470,60,110,70,60,60,110,Dodrio,cluster1
325,65,45,55,45,70,45,Seel,cluster2
475,90,70,80,70,95,70,Dewgong,cluster0
325,80,80,50,40,50,25,Grimer,cluster2
500,105,105,75,65,100,50,Muk,cluster1
305,30,65,100,45,25,40,Shellder,cluster2
525,50,95,180,85,45,70,Cloyster,cluster1
310,30,35,30,100,35,80,Gastly,cluster2
405,45,50,45,115,55,95,Haunter,cluster0
500,60,65,60,130,75,110,Gengar,cluster3
385,35,45,160,30,45,70,Onix,ruido
328,60,48,45,43,90,42,Drowzee,cluster2
483,85,73,70,73,115,67,Hypno,cluster0
325,30,105,90,25,25,50,Krabby,cluster2
475,55,130,115,50,50,75,Kingler,cluster1
330,40,30,50,55,55,100,Voltorb,cluster2
490,60,50,70,80,80,150,Electrode,ruido
325,60,40,80,60,45,40,Exeggcute,cluster2
530,95,95,85,125,75,55,Exeggutor,cluster3
320,50,50,95,40,50,35,Cubone,cluster2
425,60,80,110,50,80,45,Marowak,ruido
455,50,120,53,35,110,87,Hitmonlee,cluster1
455,50,105,79,35,110,76,Hitmonchan,cluster1
385,90,55,75,60,75,30,Lickitung,cluster0
340,40,65,95,60,45,35,Koffing,cluster2
490,65,90,120,85,70,60,Weezing,cluster1
345,80,85,95,30,30,25,Rhyhorn,cluster2
485,105,130,120,45,45,40,Rhydon,cluster1
450,250,5,5,35,105,50,Chansey,ruido
435,65,55,115,100,40,60,Tangela,cluster0
490,105,95,80,40,80,90,Kangaskhan,cluster1
295,30,40,70,70,25,60,Horsea,cluster2
440,55,65,95,95,45,85,Seadra,cluster0
320,45,67,60,35,50,63,Goldeen,cluster2
450,80,92,65,65,80,68,Seaking,cluster0
340,30,45,55,70,55,85,Staryu,cluster2
520,60,75,85,100,85,115,Starmie,cluster3
460,40,45,65,100,120,90,Mr. Mime,cluster0
